"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201502,2015-02-01,"Illinois",8488,12868087.3333333,8488,0,0,12868087.3333333,0,0,8488,0,0
201502,2015-02-01,"Indiana",5018,6606301,5018,0,0,6606301,0,0,5018,0,0
201502,2015-02-01,"Iowa",2385,3118575,2385,0,0,3118575,0,0,2385,0,0
201502,2015-02-01,"Kansas",2215,2907765,2215,0,0,2907765,0,0,2215,0,0
201502,2015-02-01,"Kentucky",3900,4425081.33333333,3900,0,0,4425081.33333333,0,0,3900,0,0
201502,2015-02-01,"Louisiana",3705,4659978,3705,0,0,4659978,0,0,3705,0,0
201502,2015-02-01,"Maine",1277,1329804.33333333,1277,0,0,1329804.33333333,0,0,1277,0,0
201502,2015-02-01,"Maryland",3942,5979040,3942,0,0,5979040,0,0,3942,0,0
201502,2015-02-01,"Massachusetts",5232,6786610.66666667,5232,0,0,6786610.66666667,0,0,5232,0,0
201502,2015-02-01,"Michigan",7714,9933666.33333333,7714,0,0,9933666.33333333,0,0,7714,0,0
201502,2015-02-01,"Minnesota",3391,5473556.33333333,3391,0,0,5473556.33333333,0,0,3391,0,0
201502,2015-02-01,"Mississippi",2743,2990784.66666667,2743,0,0,2990784.66666667,0,0,2743,0,0
201502,2015-02-01,"Missouri",5054,6069984,5054,0,0,6069984,0,0,5054,0,0
201502,2015-02-01,"Montana",748,1028549,748,0,0,1028549,0,0,748,0,0
201502,2015-02-01,"Nebraska",1409,1888024.33333333,1409,0,0,1888024.33333333,0,0,1409,0,0
201502,2015-02-01,"Nevada",1777,2851999,1777,0,0,2851999,0,0,1777,0,0
201502,2015-02-01,"New Hampshire",1092,1336405.66666667,1092,0,0,1336405.66666667,0,0,1092,0,0
201502,2015-02-01,"New Jersey",6379,8869300.33333333,6379,0,0,8869300.33333333,0,0,6379,0,0
201502,2015-02-01,"New Mexico",1443,2090126,1443,0,0,2090126,0,0,1443,0,0
201502,2015-02-01,"New York",13486,19656024.3333333,13486,0,0,19656024.3333333,0,0,13486,0,0
201502,2015-02-01,"North Carolina",7602,10003910.3333333,7602,0,0,10003910.3333333,0,0,7602,0,0
201502,2015-02-01,"North Dakota",491,749936.666666667,491,0,0,749936.666666667,0,0,491,0,0
